pct,symbol,pettm,current,name,exchange,type,areacode,tick_size,has_follow,indcode
-2.1,SZ301365,19.598,33.99,N矩阵,sh_sz,11,440000,0.01,False,
-1.61,SZ301356,12.056,52.09,天振股份,sh_sz,11,330000,0.01,False,S3603
0,SZ301276,14.531,24.96,嘉曼服饰,sh_sz,11,110000,0.01,False,S3502
-0.61,SZ301223,19.173,21.16,中荣股份,sh_sz,11,440000,0.01,False,S3602
-2.73,SZ301177,16.959,45.95,迪阿股份,sh_sz,11,440000,0.01,False,S3503
0.81,SZ301150,18.756,74.95,中一科技,sh_sz,11,420000,0.01,False,S6307
1.58,SZ301118,13.854,30.31,恒光股份,sh_sz,11,430000,0.01,False,S2202
0.9,SZ301109,13.872,15.7,军信股份,sh_sz,11,430000,0.01,False,S7601
-2.13,SZ301108,17.792,35.89,洁雅股份,sh_sz,11,340000,0.01,False,S7701
2.27,SZ301090,19.518,10.82,华润材料,sh_sz,11,320000,0.01,False,S2205
-0.63,SZ301061,12.081,30.1,匠心家居,sh_sz,11,320000,0.01,False,S3603
-7.14,SZ301060,16.693,26.29,兰卫医学,sh_sz,11,310000,0.01,False,S3706
-2.14,SZ301035,14.462,86.4,润丰股份,sh_sz,11,370000,0.01,False,S2208
-1.81,SZ301006,17.494,16.83,迈拓股份,sh_sz,11,320000,0.01,False,S6401
-3.42,SZ301004,18.133,33.06,嘉益股份,sh_sz,11,330000,0.01,False,S3603
1.44,SZ301003,18.391,24.69,江苏博云,sh_sz,11,320000,0.01,False,S2205
2.01,SZ300994,19.576,21.35,久祺股份,sh_sz,11,330000,0.01,False,S2804
-1.81,SZ300979,17.714,48.82,华利集团,sh_sz,11,440000,0.01,False,S3501
-4.45,SZ300911,19.718,39.25,亿田智能,sh_sz,11,330000,0.01,False,S3304
-0.42,SZ300873,15.336,28.18,海晨股份,sh_sz,11,320000,0.01,False,S4208
3.97,SZ300852,18.785,37.18,四会富仕,sh_sz,11,440000,0.01,False,S2702
-4.73,SZ300841,17.989,97.45,康华生物,sh_sz,11,510000,0.01,False,S3703
-0.45,SZ300821,16.787,13.32,东岳硅材,sh_sz,11,370000,0.01,False,S2203
-1.13,SZ300815,12.828,16.63,玉禾田,sh_sz,11,340000,0.01,False,S7601
-0.59,SZ300801,10.502,23.56,泰和科技,sh_sz,11,370000,0.01,False,S2203
-1.29,SZ300787,12.218,30.57,海能实业,sh_sz,11,360000,0.01,False,S2705
-0.36,SZ300780,18.334,16.42,德恩精工,sh_sz,11,510000,0.01,False,S6401
-1.67,SZ300773,18.36,14.71,拉卡拉,sh_sz,11,110000,0.01,False,S4903
-2.04,SZ300772,18.664,15.81,运达股份,sh_sz,11,330000,0.01,False,S6306
-1.01,SZ300771,11.717,12.75,智莱科技,sh_sz,11,440000,0.01,False,S7101
